sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,ssim,psnr,case_mse_mean,case_mse_var,case_ssim_mean,case_ssim_var,case_psnr_mean,case_psnr_var
0,case2_zero_count,19,301,6,node,4.569671336365659e-06,8.370515941851057e-06,0.023577802723476343,10.478539213220515,,,,,,
0,case2_zero_count,19,301,9,node,4.569671336365659e-06,1.852150858436887e-10,0.5970384735256559,19.972439401038336,,,,,,
0,case2_zero_count,19,301,mean,sample_mean,4.569671336365659e-06,4.569671336365659e-06,0.1730458165335432,12.6048735477456,,,,,,
0,case2_zero_count,20,345,2,node,1.2557200466268035e-10,3.013896126556588e-10,0.4812689598958954,16.364895923846735,,,,,,
0,case2_zero_count,20,345,3,node,1.2557200466268035e-10,1.3908351184273555e-10,0.435603768796159,18.254405676188625,,,,,,
0,case2_zero_count,20,345,6,node,1.2557200466268035e-10,1.742213348943568e-36,0.70174295845162,22.47855716941662,,,,,,
0,case2_zero_count,20,345,9,node,1.2557200466268035e-10,6.181489415232703e-11,0.6132809640290939,19.884609596501278,,,,,,
0,case2_zero_count,20,345,mean,sample_mean,1.2557200466268035e-10,1.2557200466268035e-10,0.5579741627931921,19.245617091488313,,,,,,
0,case2_zero_count,21,349,2,node,2.9914670389015606e-10,8.876749630676955e-10,0.46543940028857705,16.169360329181508,,,,,,
0,case2_zero_count,21,349,3,node,2.9914670389015606e-10,1.3908351184273667e-10,0.4723977507836635,18.55009926517132,,,,,,
0,case2_zero_count,21,349,6,node,2.9914670389015606e-10,5.035543371548435e-36,0.6148284325181624,21.269607261954096,,,,,,
0,case2_zero_count,21,349,9,node,2.9914670389015606e-10,1.6982834065019195e-10,0.6499711568084765,20.672246580754415,,,,,,
0,case2_zero_count,21,349,mean,sample_mean,2.9914670389015606e-10,2.9914670389015606e-10,0.5506591850997198,19.165328359265335,,,,,,
0,case2_zero_count,22,353,2,node,2.3207250490079992e-10,1.0989314515969325e-10,0.558847669597787,17.65423766972735,,,,,,
0,case2_zero_count,22,353,3,node,2.3207250490079992e-10,1.3908351184273708e-10,0.4404038876972642,18.248924096509768,,,,,,
0,case2_zero_count,22,353,6,node,2.3207250490079992e-10,6.793133626007694e-10,0.5288605028859981,19.75999966723267,,,,,,
0,case2_zero_count,22,353,9,node,2.3207250490079992e-10,2.605619349876212e-37,0.7637467831468515,22.64339954392981,,,,,,
0,case2_zero_count,22,353,mean,sample_mean,2.3207250490079992e-10,2.3207250490079992e-10,0.5729647108319752,19.5766402443499,,,,,,
0,case2_zero_count,23,368,2,node,6.733486791490463e-11,1.2419831746384329e-10,0.6380656274364084,18.751215993054362,,,,,,
0,case2_zero_count,23,368,3,node,6.733486791490463e-11,1.451411541957752e-10,0.44998714431746295,18.41329303467124,,,,,,
0,case2_zero_count,23,368,6,node,6.733486791490463e-11,7.388234059800554e-35,0.6696709453335102,21.811856250994722,,,,,,
0,case2_zero_count,23,368,9,node,6.733486791490463e-11,3.216391780275996e-35,0.7169973183980879,21.96792585675112,,,,,,
