num_nodes,mean_degree,trial,topology,graph_seed,num_edges,mean_degree_observed,degree_std,average_clustering,average_shortest_path
200,4,17,er,2254855265,400,4.0,1.8547236990991407,0.01513095238095238,3.977185929648241
200,4,17,ring,2479941084,400,4.0,0.0,0.5,25.376884422110553
200,4,17,small_world,2498275037,400,4.0,0.5830951894845301,0.37449999999999983,6.288291457286432
200,4,17,scale_free,2537042146,400,4.0,3.9471508711981103,0.0735074109211409,3.3803015075376885
200,4,18,er,828619245,400,4.0,1.9,0.022162698412698415,3.9560301507537687
200,4,18,ring,2120631318,400,4.0,0.0,0.5,25.376884422110553
200,4,18,small_world,1898474507,400,4.0,0.6082762530298219,0.3735,6.271256281407036
200,4,18,scale_free,752121951,400,4.0,4.102438299353203,0.060339830309328456,3.3707537688442213
200,4,19,er,137880277,400,4.0,1.8275666882497066,0.01972619047619048,3.974422110552764
200,4,19,ring,3235395083,400,4.0,0.0,0.5,25.376884422110553
200,4,19,small_world,3755479736,400,4.0,0.5477225575051661,0.4071666666666667,6.691959798994975
200,4,19,scale_free,3971602776,400,4.0,4.069397989875161,0.08837474508413788,3.3974874371859296
200,4,20,er,1520779055,400,4.0,1.9493588689617927,0.004842490842490842,3.939899497487437
200,4,20,ring,984056023,400,4.0,0.0,0.5,25.376884422110553
200,4,20,small_world,742826849,400,4.0,0.6082762530298219,0.3641666666666667,6.1693969849246235
200,4,20,scale_free,3622793528,400,4.0,3.7616485747608057,0.07564405491851145,3.4351256281407037
200,4,21,er,1503178284,400,4.0,1.9131126469708992,0.012281385281385282,3.93
200,4,21,ring,2663547967,400,4.0,0.0,0.5,25.376884422110553
200,4,21,small_world,1857233404,400,4.0,0.5916079783099616,0.3798333333333331,6.078442211055276
200,4,21,scale_free,3877937947,400,4.0,4.106093033529562,0.05663254094117098,3.341859296482412
200,4,22,er,3521323016,400,4.0,1.8814887722226779,0.022743506493506493,4.022512562814071
200,4,22,ring,4225458430,400,4.0,0.0,0.5,25.376884422110553
200,4,22,small_world,503589194,400,4.0,0.6164414002968976,0.3618333333333333,5.768140703517588
200,4,22,scale_free,3608534155,400,4.0,3.9357337308308855,0.0358901997121946,3.3715577889447235
200,4,23,er,1848451899,400,4.0,1.8547236990991407,0.017972222222222223,4.004221105527638
200,4,23,ring,2762020830,400,4.0,0.0,0.5,25.376884422110553
200,4,23,small_world,3282090736,400,4.0,0.5567764362830022,0.37183333333333335,6.434723618090453
200,4,23,scale_free,1188325205,400,4.0,4.369210454990696,0.08862561388352465,3.3244221105527636
200,4,24,er,1632265996,400,4.0,1.9157244060668017,0.022666666666666665,4.000251256281407
200,4,24,ring,968171764,400,4.0,0.0,0.5,25.376884422110553
200,4,24,small_world,3726382748,400,4.0,0.6782329983125268,0.3525476190476191,5.891507537688442
200,4,24,scale_free,2205113543,400,4.0,4.142463035441596,0.08095105333604634,3.3434170854271357
200,4,25,er,997401923,400,4.0,1.8384776310850235,0.012718253968253969,3.991608040201005
200,4,25,ring,1181335274,400,4.0,0.0,0.5,25.376884422110553
200,4,25,small_world,1694755846,400,4.0,0.5916079783099616,0.3869999999999999,6.341758793969849
200,4,25,scale_free,1998619509,400,4.0,4.46318272088428,0.08849657824254598,3.266683417085427
200,4,26,er,1475974623,400,4.0,1.833030277982336,0.02371031746031746,3.9960301507537688
200,4,26,ring,3226084350,400,4.0,0.0,0.5,25.376884422110553
200,4,26,small_world,2557992708,400,4.0,0.6244997998398398,0.3528333333333336,5.858643216080402
200,4,26,scale_free,177484319,400,4.0,3.8249182997810554,0.08517607300275178,3.442814070351759
200,4,27,er,92255802,400,4.0,1.7663521732655694,0.019000000000000003,4.0201005025125625
200,4,27,ring,3585807687,400,4.0,0.0,0.5,25.376884422110553
200,4,27,small_world,3894356097,400,4.0,0.6244997998398398,0.34216666666666673,5.815678391959799
200,4,27,scale_free,2176606386,400,4.0,4.246174749112429,0.06116990268497879,3.3453768844221106
200,4,28,er,4291838494,400,4.0,1.835755975068582,0.019396825396825402,3.962211055276382
200,4,28,ring,2086939565,400,4.0,0.0,0.5,25.376884422110553
200,4,28,small_world,2014685302,400,4.0,0.648074069840786,0.3723333333333331,5.999095477386935
200,4,28,scale_free,2168045810,400,4.0,4.3220365569948616,0.10297011384015485,3.351959798994975
200,4,29,er,58317446,400,4.0,1.833030277982336,0.007952380952380952,3.9430150753768842
200,4,29,ring,1859656448,400,4.0,0.0,0.5,25.376884422110553
200,4,29,small_world,3359606925,400,4.0,0.565685424949238,0.385,6.742010050251256
200,4,29,scale_free,2392708151,400,4.0,4.27668095606862,0.05711254794023672,3.3308040201005027
200,4,30,er,3347884442,400,4.0,1.849324200890693,0.03184487734487734,4.037035175879397
200,4,30,ring,1540328368,400,4.0,0.0,0.5,25.376884422110553
200,4,30,small_world,3416315828,400,4.0,0.6633249580710799,0.33849999999999997,5.752914572864322
200,4,30,scale_free,3838654736,400,4.0,4.00374824383352,0.13599950841523728,3.406532663316583
200,4,31,er,788284790,400,4.0,1.865475810617763,0.016892496392496393,4.007135678391959
200,4,31,ring,2887960745,400,4.0,0.0,0.5,25.376884422110553
200,4,31,small_world,2794857838,400,4.0,0.6082762530298219,0.38066666666666676,6.400753768844221
200,4,31,scale_free,810005934,400,4.0,4.648655719667784,0.10959410623381208,3.278492462311558
200,4,32,er,2277567561,400,4.0,1.9924858845171276,0.03031060606060606,3.951608040201005
200,4,32,ring,1165552715,400,4.0,0.0,0.5,25.376884422110553
