num_nodes,mean_degree,topology,corrupt_ratio,core_honest_size,count,probability
200,4,er,0.7,8,1,0.005319148936170213
200,4,er,0.7,40,1,0.005319148936170213
200,4,er,0.7,41,1,0.005319148936170213
200,4,er,0.7,42,1,0.005319148936170213
200,4,er,0.7,43,2,0.010638297872340425
200,4,er,0.7,44,3,0.015957446808510637
200,4,er,0.7,45,5,0.026595744680851064
200,4,er,0.7,46,9,0.047872340425531915
200,4,er,0.7,47,7,0.03723404255319149
200,4,er,0.7,48,7,0.03723404255319149
200,4,er,0.7,49,5,0.026595744680851064
200,4,er,0.7,50,15,0.0797872340425532
200,4,er,0.7,51,12,0.06382978723404255
200,4,er,0.7,52,8,0.0425531914893617
200,4,er,0.7,53,7,0.03723404255319149
200,4,er,0.7,54,8,0.0425531914893617
200,4,er,0.7,55,4,0.02127659574468085
200,4,er,0.7,56,5,0.026595744680851064
200,4,er,0.8,2,83,0.3547008547008547
200,4,er,0.8,3,25,0.10683760683760683
200,4,er,0.8,4,13,0.05555555555555555
200,4,er,0.8,5,5,0.021367521367521368
200,4,er,0.8,6,4,0.017094017094017096
200,4,er,0.8,7,1,0.004273504273504274
200,4,er,0.8,9,1,0.004273504273504274
200,4,er,0.8,10,1,0.004273504273504274
200,4,er,0.8,12,2,0.008547008547008548
200,4,er,0.8,13,2,0.008547008547008548
200,4,er,0.8,16,1,0.004273504273504274
200,4,er,0.8,18,1,0.004273504273504274
200,4,er,0.8,19,3,0.01282051282051282
200,4,er,0.8,22,1,0.004273504273504274
200,4,er,0.8,23,3,0.01282051282051282
200,4,er,0.8,24,5,0.021367521367521368
200,4,er,0.8,25,3,0.01282051282051282
200,4,er,0.8,26,4,0.017094017094017096
200,4,er,0.8,27,2,0.008547008547008548
200,4,er,0.8,28,8,0.03418803418803419
200,4,er,0.8,29,12,0.05128205128205128
200,4,er,0.8,30,7,0.029914529914529916
200,4,er,0.8,31,11,0.04700854700854701
200,4,er,0.8,32,8,0.03418803418803419
200,4,er,0.8,33,13,0.05555555555555555
200,4,er,0.8,34,4,0.017094017094017096
200,4,er,0.8,35,3,0.01282051282051282
200,4,er,0.8,36,5,0.021367521367521368
200,4,er,0.8,37,2,0.008547008547008548
200,4,er,0.8,38,1,0.004273504273504274
200,4,er,0.9,2,114,0.41605839416058393
200,4,er,0.9,3,38,0.1386861313868613
200,4,er,0.9,4,27,0.09854014598540146
200,4,er,0.9,5,10,0.0364963503649635
200,4,er,0.9,6,12,0.043795620437956206
