num_nodes,mean_degree,trial,topology,corrupt_ratio,partition_seed,n_honest,n_corrupt,direct_honest,eligible_honest,unrecoverable_honest,hssp_rank_feasible_honest,hlcp_rank_feasible_honest,eligible_core_count,max_core_honest_size,mean_core_honest_size,direct_recovery_rate,hssp_eligible_rate,structural_attackable_rate,hssp_rank_attackable_rate,hlcp_rank_attackable_rate,hssp_tractable_attackable_rate,hlcp_tractable_attackable_rate,max_core_fraction,hssp_feasible_core_probability,hlcp_feasible_core_probability
100,4,3,scale_free,0.3,3259956085,70,30,1,0,69,0,0,0,0,0.0,0.014285714285714285,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0,0
100,4,3,er,0.4,3259956085,60,40,2,0,58,0,0,0,0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0,0
100,4,3,ring,0.4,3259956085,60,40,0,0,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,small_world,0.4,3259956085,60,40,0,0,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,3,scale_free,0.4,3259956085,60,40,1,0,59,0,0,0,0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0,0
100,4,3,er,0.5,3259956085,50,50,1,39,10,2,2,2,37,19.5,0.02,0.78,0.8,0.06,0.06,0.06,0.06,0.74,1,1
100,4,3,ring,0.5,3259956085,50,50,0,32,18,17,17,5,15,6.4,0.0,0.64,0.64,0.34,0.34,0.34,0.34,0.3,1,1
100,4,3,small_world,0.5,3259956085,50,50,0,29,21,4,4,3,25,9.666666666666666,0.0,0.58,0.58,0.08,0.08,0.08,0.08,0.5,1,1
100,4,3,scale_free,0.5,3259956085,50,50,4,0,46,0,0,0,0,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.0,0,0
100,4,3,er,0.6,3259956085,40,60,3,34,3,2,2,2,32,17.0,0.075,0.85,0.925,0.125,0.125,0.125,0.125,0.8,1,1
100,4,3,ring,0.6,3259956085,40,60,0,29,11,15,15,4,14,7.25,0.0,0.725,0.725,0.375,0.375,0.375,0.375,0.35,1,1
100,4,3,small_world,0.6,3259956085,40,60,0,38,2,0,0,2,29,19.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.725,0,0
100,4,3,scale_free,0.6,3259956085,40,60,0,35,5,0,0,1,35,35.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.875,0,0
100,4,3,er,0.7,3259956085,30,70,3,26,1,26,26,1,26,26.0,0.1,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.1,0.1,0.8666666666666667,1,1
100,4,3,ring,0.7,3259956085,30,70,0,30,0,10,10,7,9,4.285714285714286,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,1,1
100,4,3,small_world,0.7,3259956085,30,70,0,30,0,8,8,5,18,6.0,0.0,1.0,1.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.6,1,1
100,4,3,scale_free,0.7,3259956085,30,70,2,25,3,0,0,1,25,25.0,0.06666666666666667,0.8333333333333334,0.9,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.8333333333333334,0,0
100,4,3,er,0.8,3259956085,20,80,3,17,0,17,17,2,15,8.5,0.15,0.85,1.0,1.0,1.0,0.25,0.25,0.75,1,1
100,4,3,ring,0.8,3259956085,20,80,3,17,0,8,8,3,9,5.666666666666667,0.15,0.85,1.0,0.55,0.55,0.55,0.55,0.45,1,1
100,4,3,small_world,0.8,3259956085,20,80,1,19,0,19,19,4,9,4.75,0.05,0.95,1.0,1.0,1.0,1.0,1.0,0.45,1,1
100,4,3,scale_free,0.8,3259956085,20,80,2,17,1,17,17,3,13,5.666666666666667,0.1,0.85,0.95,0.95,0.95,0.3,0.3,0.65,1,1
100,4,3,er,0.9,3259956085,10,90,3,7,0,7,7,2,5,3.5,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0.5,1,1
100,4,3,ring,0.9,3259956085,10,90,2,8,0,8,8,2,6,4.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.6,1,1
100,4,3,small_world,0.9,3259956085,10,90,2,8,0,8,8,2,6,4.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.6,1,1
100,4,3,scale_free,0.9,3259956085,10,90,5,5,0,5,5,2,3,2.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.3,1,1
100,4,4,er,0.1,3856624232,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,4,ring,0.1,3856624232,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,4,small_world,0.1,3856624232,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,4,scale_free,0.1,3856624232,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,4,er,0.2,3856624232,80,20,1,2,77,2,2,1,2,2.0,0.0125,0.025,0.0375,0.0375,0.0375,0.0375,0.0375,0.025,1,1
